C_right,v_cap,C_sys,PID_7A_loop,PID_45W_loop,PID_n7A_loop,supercap_max_power_current,supercap_target_voltage
-0.425495,18.721760,0.831649,24.474796,24.997803,12.614140,1.779342,24.590036
-0.190183,18.721760,0.831649,24.510487,24.997803,12.525495,1.779342,24.572306
-1.063751,18.721760,0.825202,24.687546,24.997803,12.649597,1.779342,24.643223
-0.734945,18.721760,0.831649,24.634359,24.997803,12.649597,1.779342,24.678680
-0.734945,18.712893,0.831649,24.696409,24.997803,12.702784,1.779342,24.776190
-0.921905,18.721760,0.831649,24.873701,24.997803,12.693919,1.779342,24.714138
-1.347383,18.721760,0.831649,24.660952,24.997803,12.649597,1.779342,24.669889
-0.979927,18.712893,0.831649,24.669817,24.997803,12.667325,1.779342,24.545715
-0.419048,18.721760,0.831649,24.625868,24.997803,12.747106,1.779342,24.687546
-0.844543,18.721760,0.831649,24.731491,24.997803,12.685055,1.779342,24.696409
-1.186401,18.721760,0.831649,24.590036,24.997803,12.702784,1.779342,24.697649
-1.192675,18.721760,0.831649,24.696409,24.997803,12.773699,1.779342,24.731867
-1.115312,18.721760,0.825202,24.598003,24.997803,12.596206,1.779342,24.669817
-0.754286,18.721760,0.829108,24.652042,24.997803,12.693919,1.779342,24.696409
-0.709000,18.721760,0.831649,24.572306,24.997803,12.685055,1.779342,24.616631
-0.431942,18.721760,0.831649,24.527983,24.997803,12.668223,1.779342,24.696409
-0.921905,18.721760,0.831649,24.669817,24.997803,12.623025,1.779342,24.607765
-0.477070,18.721760,0.831649,24.599089,24.997803,12.623003,1.779342,24.536848
-0.598465,18.721760,0.831649,24.510258,24.997803,12.543223,1.779342,24.519121
-0.799414,18.721760,0.831649,24.678680,24.997803,12.693919,1.779342,24.598902
-0.631795,18.721760,0.831649,24.607765,24.997803,12.613242,1.779342,24.607765
-0.470623,18.721760,0.831649,24.767328,24.997803,12.755970,1.779342,24.740732
-1.102418,18.721760,0.831649,24.731867,24.997803,12.693919,1.779342,24.571409
-0.825202,18.721760,0.831649,24.669817,24.997803,12.676190,1.779342,24.536848
-0.341685,18.721760,0.831649,24.492525,24.997803,12.694084,1.779342,24.714138
-1.012162,18.721760,0.831649,24.519121,24.997803,12.543223,1.779342,24.590036
-0.670477,18.721760,0.831649,24.678680,24.997803,12.623003,1.779342,24.607765
-0.995839,18.721760,0.825202,24.740732,24.997803,12.702784,1.779342,24.643181
-0.992821,18.721760,0.825202,24.740732,24.997803,12.542325,1.779342,24.519121
-0.773627,18.721760,0.831649,24.457071,24.997803,12.490035,1.779342,24.457071
-0.483485,18.721760,0.831649,24.687546,24.997803,12.596410,1.779342,24.607765
-0.812314,18.721760,0.838096,24.705275,24.997803,12.711648,1.779342,24.660952
-0.457729,18.721760,0.831649,24.536848,24.997803,12.667325,1.779342,24.678680
-0.780074,18.721760,0.831649,24.652088,24.997803,12.667325,1.779342,24.678680
-0.780074,18.721760,0.831649,24.705275,24.997803,12.685055,1.779342,24.607765
-0.986374,18.721760,0.831649,24.634359,24.997803,12.604377,1.779342,24.536848
-0.470623,18.721760,0.831649,24.519121,24.997803,12.552088,1.779342,24.652088
-0.741392,18.721760,0.831649,24.598753,24.997803,12.711648,1.779342,24.749596
-1.187053,18.721760,0.831649,24.660952,24.997803,12.587546,1.779342,24.572306
-1.985453,18.721760,0.831649,24.625492,24.997803,12.560953,1.779342,24.652088
-0.831649,18.721760,0.825202,24.616631,24.997803,12.605275,1.779342,24.705275
-0.915458,18.721760,0.831649,24.811649,24.997803,12.658462,1.779342,24.678680
-0.451282,18.721760,0.831649,24.687546,24.997803,12.711648,1.779342,24.696409
-0.902565,18.721760,0.831649,24.687546,24.997803,12.711648,1.779342,24.740732
-0.792967,18.721760,0.831649,24.705275,24.997803,12.587546,1.779342,24.545715
-0.470623,18.721760,0.831649,24.758762,24.997803,12.702784,1.779342,24.714138
-1.095971,18.721760,0.831649,24.714138,24.997803,12.702784,1.779342,24.660952
-0.702711,18.721760,0.831649,24.607765,24.997803,12.578681,1.779342,24.793919
-1.244250,18.721760,0.825202,24.811649,24.997803,12.702725,1.779342,24.758461
-1.134653,18.721760,0.825202,24.643181,24.997803,12.623453,1.779342,24.669817
